video_id,kelompok,comment_id,author,teks_asli,teks_bersih,jumlah_like,sentimen,confidence_score,sentimen_manual,catatan_validator
x-7fjnb-aGo,KAI_KRL,UgzLOVtFWOYY-UsMjD54AaABAg,@marasi63,Pemerintah mendadak hilang ketegasan jika sudah menghadapi pengusaha pemilik kekayaan 64 Triliun. Tutup saja perusahaan GREEN taksi itu!,Pemerintah mendadak hilang ketegasan jika sudah menghadapi pengusaha pemilik kekayaan 64 Triliun. Tutup saja perusahaan GREEN taksi itu!,2,NEGATIF,0.9906,,
LI3iOP-9VCc,KAI_KRL,UgwB_fzKuyMsLzi7p2Z4AaABAg,@imammahmudi8722,Jangan mengkambing hitamkan taxi online.. seharusnya ada komunikasi kalau ada mobil mogok. Ini kok diem diem aja gak profesional dan mengabaikan keselamatan orang,Jangan mengkambing hitamkan taxi online.. seharusnya ada komunikasi kalau ada mobil mogok. Ini kok diem diem aja gak profesional dan mengabaikan keselamatan orang,1,NEGATIF,0.9978,,
LI3iOP-9VCc,KAI_KRL,UgzKJFRM7sYzmof82ZB4AaABAg,@AliMukmin-k4n,KLO mau tau  siapa yg salah yaaa kenapa taksi bisa lewat apa gak ada penjaga palang pintu rel kereta,KLO mau tau siapa yg salah yaaa kenapa taksi bisa lewat apa gak ada penjaga palang pintu rel kereta,0,NEGATIF,0.8478,,
LI3iOP-9VCc,KAI_KRL,Ugx1fFrazq6IzET61Il4AaABAg,@agussupriyadi4752,Kok bisa kecelakaan antar kereta api di sebabkan taxi,Kok bisa kecelakaan antar kereta api di sebabkan taxi,1,NEGATIF,0.8529,,
LI3iOP-9VCc,KAI_KRL,Ugwq2O2-s7ZQ36OVIIN4AaABAg,@rudyoldman8125,Taksi listrik mogok biang kerok,Taksi listrik mogok biang kerok,1,NEGATIF,0.9546,,
LI3iOP-9VCc,KAI_KRL,UgzZdDNRWbbHYH-TYfN4AaABAg,@adiedwie,"Jangan hanya taxi dimasalahkan, kenapa kereta argobromo ga dapet informasi seceoarnya bahwa kereta di depan lagi berenti, ini system yg kacau, atau ada human error harus di selidiki.","Jangan hanya taxi dimasalahkan, kenapa kereta argobromo ga dapet informasi seceoarnya bahwa kereta di depan lagi berenti, ini system yg kacau, atau ada human error harus di selidiki.",0,NEGATIF,0.9969,,
LI3iOP-9VCc,KAI_KRL,UgzYsI8jcpLA_6Tjp2J4AaABAg,@ariindrajaya3849,"Argo , kenapa bisa masuk jalur KRL.?? kan harusnya beda jalur","Argo , kenapa bisa masuk jalur KRL.?? kan harusnya beda jalur",0,NETRAL,0.9799,,
LI3iOP-9VCc,KAI_KRL,UgzH59RsJyjtrMWiuId4AaABAg,@nowadayslightsum,"1) operator computer line nya minimal buat shift pagi dan malam  ,  2) buat  aturan baru dimana semua kereta yang menuju ke Stasiun  harus mengurangi kecepatan seperti negara tetanga","1 operator computer line nya minimal buat shift pagi dan malam , 2 buat aturan baru dimana semua kereta yang menuju ke Stasiun harus mengurangi kecepatan seperti negara tetanga",0,NETRAL,0.9707,,
LI3iOP-9VCc,KAI_KRL,Ugx9r400PLQXbCfBtg94AaABAg,@yuliani955,"Innalillahi wainnailahi rojiun, semoga para korban segera mendapatkan pertolongan","Innalillahi wainnailahi rojiun, semoga para korban segera mendapatkan pertolongan",0,NETRAL,0.9345,,
x-7fjnb-aGo,KAI_KRL,Ugy9TRw9lpaETSs1DGh4AaABAg,@endrogustiawan465,"Belum  tentu taxinya bersalah bila tdk melanggar rambu lintas  KA , krn crossing dg  rel kebanyakan 
trabel/bermasalah maka, 
edukasi driver bila nyebrang rel KA :
1 Taat/sabar jgn melanggar rambu lintas KA.
2 Jgn pernah pelan banget bila melintas rel KA, tnggu jarak dg mobil dpn nya smpai bs melintas dg cepat
    karena rel KA mempunyai medan magnet yg sangat besar dan bs akibatkan mesin mobil apapun mati total.
Smoga berguna utk kita smua.","Belum tentu taxinya bersalah bila tdk melanggar rambu lintas KA , krn crossing dg rel kebanyakan trabel bermasalah maka, edukasi driver bila nyebrang rel KA 1 Taat sabar jgn melanggar rambu lintas KA. 2 Jgn pernah pelan banget bila melintas rel KA, tnggu jarak dg mobil dpn nya smpai bs melintas dg cepat karena rel KA mempunyai medan magnet yg sangat besar dan bs akibatkan mesin mobil apapun mati total. Smoga berguna utk kita smua.",1,POSITIF,0.958,,
