video_id,kelompok,comment_id,author,teks_asli,teks_bersih,jumlah_kata,jumlah_like,published_at,sentimen,confidence_score
ndzTvwrgtQA,GREEN_SM,UgzYLAP8rz93OQDR9ul4AaABAg,@TubanN-y8o,jarang ada sopir taksi yg berotak.sama dg sopir bis,jarang ada sopir taksi yg berotak.sama dg sopir bis,9,2,2026-04-28T09:26:51Z,NETRAL,0.8076
ndzTvwrgtQA,GREEN_SM,Ugwm6LxygtGRPTkwSil4AaABAg,@Kiyai_sadrach777,"Ada palang pintupun juga masih pada terobos
😅😅😅😅😅😅

Kadang tukangnya juga ga ada ukuran,
Kereta sudah dekat baru menstop,

Gw udah pernah di situasi seperti itu,
Kereta udah deket masih disuruh lewat...

Lagi pula jalur kereta api indonesia terlalu kotor,
Banyak perlintasan tanpa palang dan liar..

Udah dipagerin jg tetap aja dibolongin sama warga / preman","Ada palang pintupun juga masih pada terobos Kadang tukangnya juga ga ada ukuran, Kereta sudah dekat baru menstop, Gw udah pernah di situasi seperti itu, Kereta udah deket masih disuruh lewat... Lagi pula jalur kereta api indonesia terlalu kotor, Banyak perlintasan tanpa palang dan liar.. Udah dipagerin jg tetap aja dibolongin sama warga preman",54,1,2026-04-28T09:20:59Z,NEGATIF,0.9962
ndzTvwrgtQA,GREEN_SM,Ugzw3qvZ0wTw6NQHvV14AaABAg,@kidsaninyafamily8738,Hukum Mati/seumur hidup Supir Taksi itu.kelalaian supir membuat  banyak korban.,Hukum Mati seumur hidup Supir Taksi itu.kelalaian supir membuat banyak korban.,11,1,2026-04-28T09:11:57Z,NEGATIF,0.9873
ndzTvwrgtQA,GREEN_SM,Ugxtn4DmTDLOpmkRmEZ4AaABAg,@CrankMaster,"Kesalahan paling besar ada di pihak KAI. Kejadian mobil ditabrak kereta pastinya sering kejadian. kalo udah begitu, semua kereta di jalur tersebut pasti berhenti/tertahan selama beberapa waktu. Tapi apa sering kejadian ada kereta berhenti, terus disundul sama kereta dibelakangnya? Ngga kan. Nah kemarin itu pastinya ada kelalaian dari personil persinyalan atau dari masinis kereta yang terlibat kecelakaan. Tinggal tunggu investigasi KNKT aja, nanti pasti ada yang jadi tersangka dari pihak KAI.","Kesalahan paling besar ada di pihak KAI. Kejadian mobil ditabrak kereta pastinya sering kejadian. kalo udah begitu, semua kereta di jalur tersebut pasti berhenti tertahan selama beberapa waktu. Tapi apa sering kejadian ada kereta berhenti, terus disundul sama kereta dibelakangnya? Ngga kan. Nah kemarin itu pastinya ada kelalaian dari personil persinyalan atau dari masinis kereta yang terlibat kecelakaan. Tinggal tunggu investigasi KNKT aja, nanti pasti ada yang jadi tersangka dari pihak KAI.",72,1,2026-04-28T09:12:25Z,NEGATIF,0.9816
ndzTvwrgtQA,GREEN_SM,UgwoDR3tlaUp2AIKLiV4AaABAg,@JojonSuherdy-b3c,Dr pada buat masalah Tutup aja .taxi yg tak tau aturan. ..ulah supir tak tau aturan orang lain yg  menjadi korban.,Dr pada buat masalah Tutup aja .taxi yg tak tau aturan. ..ulah supir tak tau aturan orang lain yg menjadi korban.,21,1,2026-04-28T08:52:07Z,NEGATIF,0.9964
ndzTvwrgtQA,GREEN_SM,Ugz0tsOVrXPJYDWZ5Zp4AaABAg,@rinihernawati9943,Kenapa sih setoran lebih penting daripada nyawa manusia????,Kenapa sih setoran lebih penting daripada nyawa manusia????,8,0,2026-04-28T09:00:48Z,NEGATIF,0.9732
ndzTvwrgtQA,GREEN_SM,UgzxpPIdq30-oNQ9j-14AaABAg,@Antonio-k5o8u,"Penting !  pada sekitar Pintu pelintasan Kereta Sangat Perlu Dipasang Plat Baja Tebal 2-3 Cm selebar dan sepanjang jalan , bercorak corak kasar agar tdk licin dan Agar Jalanan Tidak  Berlobang lobang yg bikin kendaraan Tersangkut atau Mati Mesin. Sehingga Kereta Menabrak.

Penting Sekali !! Mengunakan Alat Pemancar shareloc yang Memberikan Peringatan Suara Keras Untuk Memperlambat dan Menstop Kereta ketika akan Menabrak kereta  lain nya atau ada  Benda Lain. Perlu diadakan Alat seperti ini bagi semua Kereta dan LRT.","Penting ! pada sekitar Pintu pelintasan Kereta Sangat Perlu Dipasang Plat Baja Tebal 2-3 Cm selebar dan sepanjang jalan , bercorak corak kasar agar tdk licin dan Agar Jalanan Tidak Berlobang lobang yg bikin kendaraan Tersangkut atau Mati Mesin. Sehingga Kereta Menabrak. Penting Sekali !! Mengunakan Alat Pemancar shareloc yang Memberikan Peringatan Suara Keras Untuk Memperlambat dan Menstop Kereta ketika akan Menabrak kereta lain nya atau ada Benda Lain. Perlu diadakan Alat seperti ini bagi semua Kereta dan LRT.",79,0,2026-04-28T08:40:13Z,POSITIF,0.696
ndzTvwrgtQA,GREEN_SM,Ugyu9xtA4IW7iwEtj2V4AaABAg,@HERIYadi-p3g,Tidak adanya ketegasan terhadap pelnggran yg sering terjdi diperlintasan kreta api kadang palng sudah turun tutup masih bnyak orang2 yg melanggr tidak sy dg jiwanya sendiri apalagi jiwa orang lain,Tidak adanya ketegasan terhadap pelnggran yg sering terjdi diperlintasan kreta api kadang palng sudah turun tutup masih bnyak orang2 yg melanggr tidak sy dg jiwanya sendiri apalagi jiwa orang lain,30,0,2026-04-28T09:35:07Z,NEGATIF,0.97
ndzTvwrgtQA,GREEN_SM,UgxG0P2EtWS9GfgHZu14AaABAg,@faniandriawan8467,Kok saya masih bingung ya. sebenarnya kejadiannya bgmn,Kok saya masih bingung ya. sebenarnya kejadiannya bgmn,8,0,2026-04-28T10:08:44Z,NETRAL,0.8358
ndzTvwrgtQA,GREEN_SM,Ugxsb-hkspXBVnLCYoR4AaABAg,@azkaraffie9260,Nga heran supir pada konyol,Nga heran supir pada konyol,5,0,2026-04-28T20:22:38Z,NEGATIF,0.9971
ndzTvwrgtQA,GREEN_SM,Ugwhyk2EagTasXDRVGV4AaABAg,@Tiara-309,Semuanya salah terutama operator yang mengatur kereta leeat,Semuanya salah terutama operator yang mengatur kereta leeat,8,0,2026-04-28T09:30:39Z,NEGATIF,0.9828
ndzTvwrgtQA,GREEN_SM,UgxdSi_UHOiZuVn79294AaABAg,@KhusnulKhotimah-nz8pi,"😂😂😂,,pasti  karena  taxi,,bukan  miliknya,,,jika  tertabrak  masih  mendapatkan  asuransi,,,!!!😊😊😊",",,pasti karena taxi,,bukan miliknya,,,jika tertabrak masih mendapatkan asuransi,,,!!!",8,0,2026-04-28T10:36:15Z,NEGATIF,0.8441
ndzTvwrgtQA,GREEN_SM,Ugw84Y7kPPOOsFaKnPJ4AaABAg,@8ight,Seharusnya sih mati itu supirnya kalo dia menerobos..dan palang pintunya pun hanya bambu itu disana..,Seharusnya sih mati itu supirnya kalo dia menerobos..dan palang pintunya pun hanya bambu itu disana..,15,0,2026-04-28T10:02:55Z,NEGATIF,0.993
GHQo30fnKk8,GREEN_SM,Ugzm7rm_mPxnFSVDrDN4AaABAg,@MoellRoze,"Pihak taxi anomali GK ada pertanggungjawaban,a","Pihak taxi anomali GK ada pertanggungjawaban,a",6,16,2026-04-28T10:30:16Z,NEGATIF,0.9946
GHQo30fnKk8,GREEN_SM,Ugxd4IKIPvFr5FV_9uB4AaABAg,@aiuagustine,Uda ga ada permintaan maaf harusnya yg nanggung santunan bukan KAI tp taksi ijo,Uda ga ada permintaan maaf harusnya yg nanggung santunan bukan KAI tp taksi ijo,14,20,2026-04-28T11:42:05Z,NEGATIF,0.9149
GHQo30fnKk8,GREEN_SM,UgzCmyZZGdMAS-IbYKp4AaABAg,@mohridwanyunus4148,Pihak taksi green SM wajib bertanggung jawab.unit kendaraan anda terindikasi telah menyebabkan kejadian tersebut.,Pihak taksi green SM wajib bertanggung jawab.unit kendaraan anda terindikasi telah menyebabkan kejadian tersebut.,14,12,2026-04-28T10:46:27Z,NETRAL,0.9868
GHQo30fnKk8,GREEN_SM,Ugz-LFoeH9xxsvLJfR94AaABAg,@widikrapyak5444,"Kenapa masyarakat jgn pernah naik taxi tersebut, nyawa anda dipertaruhkan","Kenapa masyarakat jgn pernah naik taxi tersebut, nyawa anda dipertaruhkan",10,13,2026-04-28T11:21:56Z,NEGATIF,0.9711
GHQo30fnKk8,GREEN_SM,UgyXE-3DKATJn-En8e54AaABAg,@Papahana77,Jangan naik taxi green SM.....!!!!,Jangan naik taxi green SM.....!!!!,5,13,2026-04-28T10:50:28Z,NEGATIF,0.8617
GHQo30fnKk8,GREEN_SM,Ugzw7HZ_uST_swhGTr94AaABAg,@ruangrenunganhati,"PT KAI tidak perlu minta maaf, tapi kedepannya agar di buat sistem otomatis, kalau ada kereta di depan tabrakan atau mogok maka semua jalur mati total sehingga kereta di belakang tidak bisa melaju","PT KAI tidak perlu minta maaf, tapi kedepannya agar di buat sistem otomatis, kalau ada kereta di depan tabrakan atau mogok maka semua jalur mati total sehingga kereta di belakang tidak bisa melaju",33,2,2026-04-28T23:23:29Z,NEGATIF,0.939
GHQo30fnKk8,GREEN_SM,UgxfqEG1oLdzCHdgqup4AaABAg,@NADAOfficial2014,Biarin aja tuh taksi suruh evakuasi sendiri,Biarin aja tuh taksi suruh evakuasi sendiri,7,5,2026-04-28T10:52:17Z,NEGATIF,0.8554
GHQo30fnKk8,GREEN_SM,UgyCUJlOeKRJPianRdR4AaABAg,@masbrur29,"Taksi Hijau ga mau tanggung jawab meskipun penyebab utamanya adalah Dari Driver perusahaan taksi Green SM.  Mungkin inti dari bisnis perusahaan taksi hijau ini adalah Yang PENTING cuan bos, mereka seakan"" tdk peduli dgn korban jiwa","Taksi Hijau ga mau tanggung jawab meskipun penyebab utamanya adalah Dari Driver perusahaan taksi Green SM. Mungkin inti dari bisnis perusahaan taksi hijau ini adalah Yang PENTING cuan bos, mereka seakan tdk peduli dgn korban jiwa",36,3,2026-04-28T13:30:08Z,NEGATIF,0.8114
GHQo30fnKk8,GREEN_SM,UgynFnp0cB-pq6UtHBZ4AaABAg,@M1S7RX,"Cabut izin di Indonesia,bawa Mala petaka saja,  taxi lokal Indonesia sudah cukup untuk apa ada taxi asing bikin macet saja.","Cabut izin di Indonesia,bawa Mala petaka saja, taxi lokal Indonesia sudah cukup untuk apa ada taxi asing bikin macet saja.",20,3,2026-04-28T12:18:26Z,NEGATIF,0.9974
GHQo30fnKk8,GREEN_SM,Ugw4441RGCSrIfR7kd54AaABAg,@jokolelono3979,Harus diusut tuntas ini.. biar jelas siapa yg salah,Harus diusut tuntas ini.. biar jelas siapa yg salah,9,0,2026-04-28T10:48:55Z,NEGATIF,0.9829
GHQo30fnKk8,GREEN_SM,UgwIEfIOOQDZ3aGQoQl4AaABAg,@KsatriaAulia,"Seharusnya kereta setelah nabrak itu tidak usah berhenti kalo tidak ada kendala, biar tidak kejadian seperti ini lagi, saya lihat2 kereta di Indonesia kebanyakan setelah nabrak pasti berhenti itu kesalahan fatal,","Seharusnya kereta setelah nabrak itu tidak usah berhenti kalo tidak ada kendala, biar tidak kejadian seperti ini lagi, saya lihat2 kereta di Indonesia kebanyakan setelah nabrak pasti berhenti itu kesalahan fatal,",31,1,2026-04-29T03:06:37Z,NEGATIF,0.9972
GHQo30fnKk8,GREEN_SM,UgwcxnMRQDDKNphRbv14AaABAg,@dyahsari505,"KAI pelayanan publik nya terbaik...❤ penumpang betul2 di utamakan... segera pulih kereta api kita, dan semoga korban yg sakit segera sehat dan berkumpul dgn kluarga kembali, serta yg meninggal semoga husnul khtimah❤... jangan trauma ya naik kereta....","KAI pelayanan publik nya terbaik... penumpang betul2 di utamakan... segera pulih kereta api kita, dan semoga korban yg sakit segera sehat dan berkumpul dgn kluarga kembali, serta yg meninggal semoga husnul khtimah ... jangan trauma ya naik kereta....",38,1,2026-04-28T11:30:27Z,POSITIF,0.9921
GHQo30fnKk8,GREEN_SM,Ugz4XO1MW6UzDTpVUQ94AaABAg,@gandasaribetung,"Perusahaan taxi tsb Mana ada pernyataan ikut bertanggung jawab dan akan memberikan kompensasi kepada orang yang luka atau meninggal, usir perusahaan asing yang hanya mengambil untung di indonesia","Perusahaan taxi tsb Mana ada pernyataan ikut bertanggung jawab dan akan memberikan kompensasi kepada orang yang luka atau meninggal, usir perusahaan asing yang hanya mengambil untung di indonesia",28,2,2026-04-28T12:15:12Z,NEGATIF,0.9833
GHQo30fnKk8,GREEN_SM,UgwN4G_nrdOQRF9CZwV4AaABAg,@aepsaefulloh7110,"Mobil taxi memang menjadi penyebab awal musibah, namun menurut bebarapa saksi, KRL arah ke cikarang tertahan 5-20 mnt. Seharusnya dengan waktu tersebut, pihak PPKA mempunyai waktu untuk menginformasikan ke masinis argo bromo anggrek. Apa mungkin PPKA hanya mengandalkan system sinyal otomatis? Sepertinya system keamanan perjalanan KAI perlu di evaluasi kembali.","Mobil taxi memang menjadi penyebab awal musibah, namun menurut bebarapa saksi, KRL arah ke cikarang tertahan 5-20 mnt. Seharusnya dengan waktu tersebut, pihak PPKA mempunyai waktu untuk menginformasikan ke masinis argo bromo anggrek. Apa mungkin PPKA hanya mengandalkan system sinyal otomatis? Sepertinya system keamanan perjalanan KAI perlu di evaluasi kembali.",50,9,2026-04-28T11:06:52Z,NEGATIF,0.4885
GHQo30fnKk8,GREEN_SM,UgytYHlaXWuao3qDusl4AaABAg,@aDjay_23,TUTUT GANTI RUGI DAN TANGGUNG JAWAB PIDANA,TUTUT GANTI RUGI DAN TANGGUNG JAWAB PIDANA,7,4,2026-04-28T11:35:35Z,NETRAL,0.9828
GHQo30fnKk8,GREEN_SM,UgzzLHvti6NcPZeL7JN4AaABAg,@AdrianKobandaha-u6v,Cari supir taxi yg bikin kecelakaam biangnya... Supir gk tahu aturan,Cari supir taxi yg bikin kecelakaam biangnya... Supir gk tahu aturan,11,5,2026-04-28T11:21:26Z,NEGATIF,0.997
GHQo30fnKk8,GREEN_SM,Ugywr3M_Jo81QoG2wyx4AaABAg,@RidwanWijaya-j4f,PT taxi harus mengeluarkan dana kompensasi.. Buat para korban.. Itu bentuk tanggungjawab..,PT taxi harus mengeluarkan dana kompensasi.. Buat para korban.. Itu bentuk tanggungjawab..,12,1,2026-04-28T12:50:14Z,NETRAL,0.8802
GHQo30fnKk8,GREEN_SM,UgxuGwWwTpQlyyOC5FJ4AaABAg,@margo_channel8389,Pemerintah pusat harus berani tegas mencabut perizinan larangan taxi green SM untuk beroperasi lagi!!! Sebab taxi green SM ini sudah banyak kasusnya melanggar lalulintas serta membahayakan. Jika kejadian semalam supir taxi green SM itu tidak menerobos palang pintu rel kereta api pasti tidak bakal kejadian seperti ini!!!,Pemerintah pusat harus berani tegas mencabut perizinan larangan taxi green SM untuk beroperasi lagi!!! Sebab taxi green SM ini sudah banyak kasusnya melanggar lalulintas serta membahayakan. Jika kejadian semalam supir taxi green SM itu tidak menerobos palang pintu rel kereta api pasti tidak bakal kejadian seperti ini!!!,47,1,2026-04-28T12:25:09Z,NEGATIF,0.9523
GHQo30fnKk8,GREEN_SM,Ugyho3u-FxZRNRZneeJ4AaABAg,@pakriyono2418,"bagaimana mau tanggungjawab, taksinya  masih kredit","bagaimana mau tanggungjawab, taksinya masih kredit",6,1,2026-04-28T15:16:04Z,NEGATIF,0.757
GHQo30fnKk8,GREEN_SM,UgyMGA1e_hCYq3hPiDB4AaABAg,@leecanibal7945,Knpa taxi yg d salahkan...apa human eror d KAI ga ada yg comment...😂😂,Knpa taxi yg d salahkan...apa human eror d KAI ga ada yg comment...,13,1,2026-04-29T17:00:24Z,NEGATIF,0.9941
GHQo30fnKk8,GREEN_SM,UgxUWn6lgFJ8UkaXEFV4AaABAg,@railfans-y3i,Udah tau apa yg harus di lakukan untuk taksi tersebut..,Udah tau apa yg harus di lakukan untuk taksi tersebut..,10,0,2026-04-28T13:15:01Z,NETRAL,0.9652
GHQo30fnKk8,GREEN_SM,UgxaEwZuiwKFjk2sa3J4AaABAg,@minitikus4108,"green sm ini perusahaan nir empati sudah kaga ada minta maaf dan cmn teks doang. Kaga ganti rugi juga lagi, minimal bayarin biaya pengobatan dan psikologis korban","green sm ini perusahaan nir empati sudah kaga ada minta maaf dan cmn teks doang. Kaga ganti rugi juga lagi, minimal bayarin biaya pengobatan dan psikologis korban",27,1,2026-04-28T12:53:27Z,NEGATIF,0.9895
GHQo30fnKk8,GREEN_SM,UgzEC2NcSH0ZkITh0_p4AaABAg,@Langgengtimur,Jangan pada pesen aplikasi ini biar kapok,Jangan pada pesen aplikasi ini biar kapok,7,0,2026-04-28T16:18:41Z,NEGATIF,0.9968
GHQo30fnKk8,GREEN_SM,Ugyvlr-par-g8l3uhVl4AaABAg,@egikeysa6984,Komunikasi udah canggih lalai petugas rel nya,Komunikasi udah canggih lalai petugas rel nya,7,0,2026-04-28T14:43:59Z,NEGATIF,0.9898
GHQo30fnKk8,GREEN_SM,UgxYlPtVF6CFf7aGYyl4AaABAg,@anakkalong,Perusahaan taxi green sm harus ganti rugi korban nyawa dan korban !!!,Perusahaan taxi green sm harus ganti rugi korban nyawa dan korban !!!,12,0,2026-04-28T14:30:22Z,NETRAL,0.7677
GHQo30fnKk8,GREEN_SM,UgzlbzV7SlCZsX07jQl4AaABAg,@kritiksingkong,Gw sering liat nih taksi kalo tengah malem ada aja yang mogok ntah sopirnya gaptek atau mobilnya emang sampah....,Gw sering liat nih taksi kalo tengah malem ada aja yang mogok ntah sopirnya gaptek atau mobilnya emang sampah....,19,0,2026-04-29T03:03:14Z,NEGATIF,0.996
GHQo30fnKk8,GREEN_SM,Ugzrk9DeHAzBpA0gmB54AaABAg,@banyu_laut,"Pasca kejadian, ada pejabat 2 orang yg datang ke tkp. Nah itu salah satunya, investor dan yg bawa masuk mulus itu taxi ijo kemari 😊","Pasca kejadian, ada pejabat 2 orang yg datang ke tkp. Nah itu salah satunya, investor dan yg bawa masuk mulus itu taxi ijo kemari",24,1,2026-04-28T14:10:02Z,NEGATIF,0.7308
GHQo30fnKk8,GREEN_SM,Ugyy48Ig9qWZzrlp5-p4AaABAg,@hanzdbills,"Coba berpikirnya yg jernih, taksi memang salah, tp gak sepenuhnya salah, masih ada jeda waktu utk memberikan sinyal darurat ke KA Bromo, karna faktanya KRL yg ditabrak masih berhenti sekitar 10 menit sebelum keretanya dihantam","Coba berpikirnya yg jernih, taksi memang salah, tp gak sepenuhnya salah, masih ada jeda waktu utk memberikan sinyal darurat ke KA Bromo, karna faktanya KRL yg ditabrak masih berhenti sekitar 10 menit sebelum keretanya dihantam",35,0,2026-04-28T17:14:36Z,NETRAL,0.6554
GHQo30fnKk8,GREEN_SM,UgwEVz5M-FutIBQjKRR4AaABAg,@AriGunawan-s1j,Blacklist taxi nya dan tutup perusahaan yg cuma mau untung saja,Blacklist taxi nya dan tutup perusahaan yg cuma mau untung saja,11,0,2026-04-29T05:44:40Z,NEGATIF,0.9908
GHQo30fnKk8,GREEN_SM,UgyNW2TcSGxHb5O-eFR4AaABAg,@horascool,"Nahhh ini yg gw maksud..

Di pernyataan manajemen green SM 1 kata pun gk ada kalimat permintaan maaf, pdhl driver taxi nya lahh penyebab awal terjadinya kecelakaan tsb","Nahhh ini yg gw maksud.. Di pernyataan manajemen green SM 1 kata pun gk ada kalimat permintaan maaf, pdhl driver taxi nya lahh penyebab awal terjadinya kecelakaan tsb",28,0,2026-04-29T00:38:29Z,NEGATIF,0.9622
GHQo30fnKk8,GREEN_SM,UgzWdRq2SJmdisKPlKx4AaABAg,@tettysuharty8291,PENYEBAB TRAGEDI TAXI KEMATIAN GREEN SM TANGGUNG JAWAB NYATA BUKAN CUMA KLARIFIKASI KE KORBAN,PENYEBAB TRAGEDI TAXI KEMATIAN GREEN SM TANGGUNG JAWAB NYATA BUKAN CUMA KLARIFIKASI KE KORBAN,14,0,2026-04-28T19:17:14Z,NETRAL,0.9768
GHQo30fnKk8,GREEN_SM,Ugx7OGfKTeOiczV7NQh4AaABAg,@KoGiga,Semua sopir taxi hijau resign pindah ke biru,Semua sopir taxi hijau resign pindah ke biru,8,0,2026-04-28T12:35:48Z,NEGATIF,0.4997
GHQo30fnKk8,GREEN_SM,UgzXvhV0oQYbZtISzcx4AaABAg,@crystalj8492,Dua2nya salah. Taxi maen nyelonong. Kereta gagal komunikasi dan lambat koordinasi.,Dua2nya salah. Taxi maen nyelonong. Kereta gagal komunikasi dan lambat koordinasi.,11,2,2026-04-28T11:43:27Z,NEGATIF,0.9973
GHQo30fnKk8,GREEN_SM,UgxteaktQrxu9cDGQaB4AaABAg,@istaffie1293,TAXI DONGO HALANGI KERETA 👈👈👈 s t u p i d driver👎👎👎,TAXI DONGO HALANGI KERETA s t u p i d driver,11,2,2026-04-28T11:30:22Z,NEGATIF,0.7699
GHQo30fnKk8,GREEN_SM,UgwFNhWH6PJLRTzzdNh4AaABAg,@Sandiagungputra2,Mobil listrik kok buat transportasi udah uji layak belum minimal supir nya udah pernah bawa mobil listrik mobil bensin aja banyak kasus mati mendadak di perlintasan rel apa sebab ya itu lintasan listrik tegangan tinggi sama kaya sutet,Mobil listrik kok buat transportasi udah uji layak belum minimal supir nya udah pernah bawa mobil listrik mobil bensin aja banyak kasus mati mendadak di perlintasan rel apa sebab ya itu lintasan listrik tegangan tinggi sama kaya sutet,38,0,2026-04-28T15:18:39Z,NEGATIF,0.9839
GHQo30fnKk8,GREEN_SM,UgxlcjE8vIYGsDt-_Vd4AaABAg,@gendoruwo6322,"itulah kesalahan desain fatal mobil listrik: kalau ada masalah, semua nya terkunci: mesin ga mau hidup, ban terkunci ga bisa didorong, plus mobilnya berat krn batere nya berat.
Coba kalau mobil biasa? tinggal gigi nol, dorong.
Mobil listrik nyangkut di rel kereta dan mogok? bye bye
Masih mau mobil listik?","itulah kesalahan desain fatal mobil listrik kalau ada masalah, semua nya terkunci mesin ga mau hidup, ban terkunci ga bisa didorong, plus mobilnya berat krn batere nya berat. Coba kalau mobil biasa? tinggal gigi nol, dorong. Mobil listrik nyangkut di rel kereta dan mogok? bye bye Masih mau mobil listik?",50,0,2026-04-29T01:04:31Z,NEGATIF,0.9968
GHQo30fnKk8,GREEN_SM,Ugyr_4Ms4a0ORPKI-nR4AaABAg,@krisnamancing2041,KAI gak salah. Yg salah yg menghalangi jalan/rel kereta api. Supir pekokkk dari mobil ijo,KAI gak salah. Yg salah yg menghalangi jalan rel kereta api. Supir pekokkk dari mobil ijo,16,0,2026-04-28T23:13:59Z,NEGATIF,0.9917
GHQo30fnKk8,GREEN_SM,UgwEL3Wd9KEnyWG-R2Z4AaABAg,@YulianaBta-i9d,"Berapa banyak perlintasan krta api tanpa penjaga di sluruh indonesia.. Knp kai ngak pernah introspeksi... Brp banyak kejadian tabrakan ka dgn smua pengguna jalan....apakah cukup dgn permintaan maaf


..",Berapa banyak perlintasan krta api tanpa penjaga di sluruh indonesia.. Knp kai ngak pernah introspeksi... Brp banyak kejadian tabrakan ka dgn smua pengguna jalan....apakah cukup dgn permintaan maaf ..,29,1,2026-04-28T14:38:53Z,NEGATIF,0.8409
GHQo30fnKk8,GREEN_SM,UgykfI9sR6M1syi5QfF4AaABAg,@Near_lawliet86,"Masalah nya kereta yang nabrak taxi sama kereta yg tabrakan sama kereta argo bromo beda 😅
KAI konoha mau lari dr tanggung jawab.
Bagaimana sistem keamanan KAI?
Gak punya signal peringatan kah?

Kembalikan pak ignasius jonan jadi dirut KAI.",Masalah nya kereta yang nabrak taxi sama kereta yg tabrakan sama kereta argo bromo beda KAI konoha mau lari dr tanggung jawab. Bagaimana sistem keamanan KAI? Gak punya signal peringatan kah? Kembalikan pak ignasius jonan jadi dirut KAI.,38,2,2026-04-28T12:55:31Z,NEGATIF,0.9917
